Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
24367,12-2017,31,1372,1779,1262
24398,5-2018,31,2609,737,2505
24398,4-2018,30,2069,719,2705
24398,3-2018,31,2828,762,2587
24398,2-2018,28,3091,709,2415
24398,1-2018,31,3421,733,2966
24398,12-2017,27,2894,1025,1752
24399,5-2018,31,1949,533,2482
24399,4-2018,30,1847,306,2154
24399,3-2018,31,2027,434,2470
24399,2-2018,28,1741,399,2029
24399,1-2018,31,2083,339,2291
24399,12-2017,31,2244,353,1956
24400,5-2018,31,3116,2251,2677
24400,4-2018,24,2231,1658,1551
24400,3-2018,31,3108,2210,2457
24400,2-2018,28,2446,1583,1920
24400,1-2018,31,2928,2156,2467
24400,12-2017,31,2843,2241,3122
24401,5-2018,17,1568,1134,1095
24401,4-2018,27,1637,1671,1088
24401,3-2018,31,1993,1957,1527
24401,2-2018,28,1879,2255,1383
24401,1-2018,31,2205,2873,1627
24401,12-2017,31,2009,3144,1447
24845,5-2018,31,2444,1624,2298
24845,4-2018,30,2415,1707,2174
24845,3-2018,31,2380,1800,2369
24845,2-2018,27,2268,2665,1749
24845,1-2018,31,1958,3521,1477
24845,12-2017,26,1656,1703,1494
24846,5-2018,31,1186,808,636
24846,4-2018,30,1195,773,605
24846,3-2018,31,1311,783,827
24846,2-2018,27,1061,705,534
24846,1-2018,31,1277,1004,705
24846,12-2017,27,597,1008,107
24847,5-2018,31,1736,2234,1541
24847,4-2018,14,230,290,125
24847,3-2018,31,1377,1402,1407
24847,2-2018,27,1474,984,1284
24847,1-2018,31,1889,1712,2117
24847,12-2017,31,1885,1836,1835
24848,5-2018,31,2218,1345,1791
24848,4-2018,30,2369,1631,1829
24848,3-2018,19,1575,1094,1139
24848,2-2018,27,1611,942,1136
24848,1-2018,31,2034,1576,1621
24848,12-2017,31,2024,1762,1590
24849,5-2018,31,1263,1103,714
24849,4-2018,30,1506,1216,895
24849,3-2018,31,1739,1316,1376
24849,2-2018,27,1534,1023,1133
24849,1-2018,31,1872,1584,1369
24849,12-2017,31,1786,1727,1603
24850,5-2018,31,1250,657,2290
24850,4-2018,30,1370,698,2294
24850,3-2018,31,1738,982,2336
24850,2-2018,27,1462,1284,1965
24850,1-2018,29,1341,1249,1642
24850,12-2017,25,1098,953,1716
25403,5-2018,28,1837,2128,610
25403,4-2018,25,2058,1739,634
25403,3-2018,28,2259,3339,1218
25403,2-2018,28,1755,3915,2540
25403,1-2018,30,2516,4909,2547
25403,12-2017,30,2045,5154,757
25404,5-2018,31,1468,5000,1052
25404,4-2018,30,1524,1584,647
25404,3-2018,31,1298,1812,1302
25404,2-2018,28,1364,3161,2228
25404,1-2018,30,1665,2922,2839
25404,12-2017,30,1259,2464,1000
25405,5-2018,31,1650,2837,810
25405,4-2018,30,1879,4174,1224
25405,3-2018,31,2087,6068,1711
25405,2-2018,28,1792,6136,1082
25405,1-2018,29,1731,7349,717
25405,12-2017,30,1448,7541,259
25406,5-2018,31,2107,3426,1384
25406,4-2018,22,1760,1510,552
25406,3-2018,23,1700,2204,1969
25406,2-2018,28,2152,4097,2717
25406,1-2018,30,2300,6635,2199
25406,12-2017,30,2136,5838,541
25413,5-2018,31,1136,4564,387
25413,4-2018,25,1072,2092,236
25413,3-2018,31,1256,3497,388
25413,2-2018,28,1057,4764,685
25413,1-2018,30,1596,7661,724
25413,12-2017,30,1409,5818,328
25414,5-2018,30,2670,4768,1394
